event_id,sample_id,role,event_time,event_type,event_text,label,target_text
E-0001,1,observer,2026-01-01T14:34:11Z,netflow,Outbound connection from WS-141 to 190.44.216.9:80 bytes_out=198493,benign,Normal network flow.
E-0002,2,observer,2026-01-01T15:27:29Z,auth,User youssef login success on WS-288 from 10.214.112.115,benign,Normal authentication event.
E-0003,3,observer,2026-01-04T21:00:29Z,dns,High entropy DNS query gfygwwqc38hyf9sxmecosfo.cdn.verify.cn from WS-217,anomalous,Raise alert: suspected DNS tunneling; collect DNS logs for confirmation.
E-0003,4,responder,2026-01-04T21:00:29Z,alert,Alert received: High entropy DNS query gfygwwqc38hyf9sxmecosfo.cdn.verify.cn from WS-217,high_risk,"Classify as potential exfiltration. Recommend: collect DNS logs, block domain if confirmed, isolate host pending approval."
E-0003,5,consultant,2026-01-04T21:00:29Z,correlation,Correlation analysis for High entropy DNS query gfygwwqc38hyf9sxmecosfo.cdn.verify.cn from WS-217,staged_attack,"Hypothesis: multi-stage compromise leading to DNS-based exfiltration. Next: IR escalation, isolate host, hunt related DNS IOCs, review auth history."
E-0004,6,observer,2026-01-18T00:50:23Z,netflow,Unusual outbound connection from SRV-50 to 10.83.236.98:53 bytes_out=1942685,anomalous,Raise alert: suspicious C2/exfil pattern; verify destination reputation and isolate if confirmed.
E-0004,7,responder,2026-01-18T00:50:23Z,alert,Alert received: Unusual outbound connection from SRV-50 to 10.83.236.98:53 bytes_out=1942685,anomalous,"Classify as possible C2. Recommend: block destination IP, isolate host if beaconing persists, hunt IOCs."
E-0005,8,observer,2026-01-02T08:35:10Z,app,Service crm responded 200 OK on WS-118,benign,Normal application health event.
E-0005,9,responder,2026-01-02T08:35:10Z,alert,Alert received: Service crm responded 200 OK on WS-118,benign,Dismiss as low risk; continue monitoring.
E-0006,10,observer,2026-01-08T15:18:47Z,app,Service payments responded 200 OK on WS-109,benign,Normal application health event.
E-0007,11,observer,2026-01-14T01:58:37Z,netflow,Unusual outbound connection from WS-135 to 36.252.46.194:80 bytes_out=1807863,anomalous,Raise alert: suspicious C2/exfil pattern; verify destination reputation and isolate if confirmed.
E-0007,12,responder,2026-01-14T01:58:37Z,alert,Alert received: Unusual outbound connection from WS-135 to 36.252.46.194:80 bytes_out=1807863,anomalous,"Classify as possible C2. Recommend: block destination IP, isolate host if beaconing persists, hunt IOCs."
E-0008,13,observer,2026-01-02T13:00:27Z,auth,User nour login success on WS-198 from 10.239.128.249,benign,Normal authentication event.
E-0008,14,responder,2026-01-02T13:00:27Z,alert,Alert received: User nour login success on WS-198 from 10.239.128.249,benign,Dismiss as low risk; continue monitoring.
E-0009,15,observer,2026-01-03T18:43:52Z,netflow,Outbound connection from SRV-50 to 10.80.232.1:53 bytes_out=1051805,benign,Normal network flow.
E-0010,16,observer,2026-01-16T04:15:49Z,dns,High entropy DNS query 7au5bhxtpdpff5e8ii49kq71n8.img.account.cn from WS-153,anomalous,Raise alert: suspected DNS tunneling; collect DNS logs for confirmation.
E-0010,17,responder,2026-01-16T04:15:49Z,alert,Alert received: High entropy DNS query 7au5bhxtpdpff5e8ii49kq71n8.img.account.cn from WS-153,high_risk,"Classify as potential exfiltration. Recommend: collect DNS logs, block domain if confirmed, isolate host pending approval."
E-0011,18,observer,2026-01-11T23:00:35Z,app,Service billing responded 200 OK on WS-062,benign,Normal application health event.
E-0012,19,observer,2026-01-02T17:21:23Z,dns,DNS query www.amazon.com from SRV-24,benign,Normal DNS activity; no action needed.
E-0013,20,observer,2026-01-14T02:07:35Z,auth,User unknown login success on WS-068 from 10.242.124.201,benign,Normal authentication event.
E-0014,21,observer,2026-01-16T23:53:06Z,dns,High entropy DNS query gdzvgpmm82i1lr3pe2.cdn.secure.tk from WS-221,anomalous,Raise alert: suspected DNS tunneling; collect DNS logs for confirmation.
E-0014,22,responder,2026-01-16T23:53:06Z,alert,Alert received: High entropy DNS query gdzvgpmm82i1lr3pe2.cdn.secure.tk from WS-221,anomalous,"Classify as potential exfiltration. Recommend: collect DNS logs, block domain if confirmed, isolate host pending approval."
E-0014,23,consultant,2026-01-16T23:53:06Z,correlation,Correlation analysis for High entropy DNS query gdzvgpmm82i1lr3pe2.cdn.secure.tk from WS-221,benign,No strong evidence of coordinated attack; document findings and continue monitoring.
E-0015,24,observer,2026-01-06T17:42:03Z,endpoint,Suspicious process powershell executed on WS-086 by user nour,anomalous,Raise alert: suspicious execution; collect process tree and quarantine if needed.
E-0015,25,responder,2026-01-06T17:42:03Z,alert,Alert received: Suspicious process powershell executed on WS-086 by user nour,high_risk,"Classify as suspicious execution. Recommend: quarantine endpoint, collect triage package, reset credentials."
E-0016,26,observer,2026-01-12T01:03:41Z,auth,User nour login success on WS-147 from 10.249.79.49,benign,Normal authentication event.
E-0016,27,responder,2026-01-12T01:03:41Z,alert,Alert received: User nour login success on WS-147 from 10.249.79.49,benign,Dismiss as low risk; continue monitoring.
E-0017,28,observer,2026-01-14T03:51:05Z,netflow,Outbound connection from WS-032 to 10.80.29.246:9001 bytes_out=170005,benign,Normal network flow.
E-0018,29,observer,2026-01-06T17:00:58Z,dns,DNS query login.amazon.com from WS-207,benign,Normal DNS activity; no action needed.
E-0019,30,observer,2026-01-10T14:33:43Z,dns,High entropy DNS query ea3ge8n6qiwepxsk28t7a9tgiqhg9jrs.img.account.cn from WS-068,anomalous,Raise alert: suspected DNS tunneling; collect DNS logs for confirmation.
E-0019,31,responder,2026-01-10T14:33:43Z,alert,Alert received: High entropy DNS query ea3ge8n6qiwepxsk28t7a9tgiqhg9jrs.img.account.cn from WS-068,high_risk,"Classify as potential exfiltration. Recommend: collect DNS logs, block domain if confirmed, isolate host pending approval."
E-0020,32,observer,2026-01-02T05:35:33Z,auth,User jdoe login success on WS-048 from 10.216.141.12,benign,Normal authentication event.
E-0021,33,observer,2026-01-07T08:36:00Z,netflow,Unusual outbound connection from WS-083 to 20.76.18.214:445 bytes_out=1223611,anomalous,Raise alert: suspicious C2/exfil pattern; verify destination reputation and isolate if confirmed.
E-0021,34,responder,2026-01-07T08:36:00Z,alert,Alert received: Unusual outbound connection from WS-083 to 20.76.18.214:445 bytes_out=1223611,high_risk,"Classify as possible C2. Recommend: block destination IP, isolate host if beaconing persists, hunt IOCs."
E-0022,35,observer,2026-01-01T23:14:25Z,auth,Multiple failed logins (21) for user youssef on WS-184 from 10.127.52.91,anomalous,Raise alert: possible brute force; recommend rate limiting and MFA challenge.
E-0022,36,responder,2026-01-01T23:14:25Z,alert,Alert received: Multiple failed logins (21) for user youssef on WS-184 from 10.127.52.91,anomalous,"Classify as credential attack. Recommend: enable MFA, rate limit, lock account if threshold exceeded."
E-0022,37,consultant,2026-01-01T23:14:25Z,correlation,Correlation analysis for Multiple failed logins (21) for user youssef on WS-184 from 10.127.52.91,benign,No strong evidence of coordinated attack; document findings and continue monitoring.
E-0023,38,observer,2026-01-06T17:54:34Z,endpoint,Suspicious process wscript executed on WS-084 by user sara,anomalous,Raise alert: suspicious execution; collect process tree and quarantine if needed.
E-0023,39,responder,2026-01-06T17:54:34Z,alert,Alert received: Suspicious process wscript executed on WS-084 by user sara,high_risk,"Classify as suspicious execution. Recommend: quarantine endpoint, collect triage package, reset credentials."
E-0023,40,consultant,2026-01-06T17:54:34Z,correlation,Correlation analysis for Suspicious process wscript executed on WS-084 by user sara,staged_attack,"Hypothesis: malicious execution with possible persistence. Next: quarantine endpoint, analyze process tree, check scheduled tasks, rotate credentials."
E-0024,41,observer,2026-01-07T00:34:04Z,netflow,Outbound connection from WS-137 to 121.113.102.210:8080 bytes_out=735286,benign,Normal network flow.
E-0025,42,observer,2026-01-06T12:35:02Z,app,Service email error 503 spike on WS-115,anomalous,Investigate service degradation; check downstream dependencies and recent deployments.
E-0025,43,responder,2026-01-06T12:35:02Z,alert,Alert received: Service email error 503 spike on WS-115,anomalous,Prioritize incident and assign to analyst; gather supporting telemetry.
E-0026,44,observer,2026-01-14T00:22:05Z,netflow,Unusual outbound connection from WS-170 to 10.135.19.28:135 bytes_out=913346,anomalous,Raise alert: suspicious C2/exfil pattern; verify destination reputation and isolate if confirmed.
E-0026,45,responder,2026-01-14T00:22:05Z,alert,Alert received: Unusual outbound connection from WS-170 to 10.135.19.28:135 bytes_out=913346,high_risk,"Classify as possible C2. Recommend: block destination IP, isolate host if beaconing persists, hunt IOCs."
E-0026,46,consultant,2026-01-14T00:22:05Z,correlation,Correlation analysis for Unusual outbound connection from WS-170 to 10.135.19.28:135 bytes_out=913346,benign,No strong evidence of coordinated attack; document findings and continue monitoring.
E-0027,47,observer,2026-01-14T23:53:12Z,dns,DNS query login.office.com from WS-098,benign,Normal DNS activity; no action needed.
E-0027,48,responder,2026-01-14T23:53:12Z,alert,Alert received: DNS query login.office.com from WS-098,benign,Dismiss as low risk; continue monitoring.
E-0028,49,observer,2026-01-16T03:00:51Z,endpoint,Endpoint AV scan completed on WS-161 (no threats),benign,Normal endpoint security event.
E-0029,50,observer,2026-01-08T04:13:53Z,auth,Multiple failed logins (29) for user sara on WS-284 from 10.98.215.171,anomalous,Raise alert: possible brute force; recommend rate limiting and MFA challenge.
E-0029,51,responder,2026-01-08T04:13:53Z,alert,Alert received: Multiple failed logins (29) for user sara on WS-284 from 10.98.215.171,anomalous,"Classify as credential attack. Recommend: enable MFA, rate limit, lock account if threshold exceeded."
E-0029,52,consultant,2026-01-08T04:13:53Z,correlation,Correlation analysis for Multiple failed logins (29) for user sara on WS-284 from 10.98.215.171,benign,No strong evidence of coordinated attack; document findings and continue monitoring.
E-0030,53,observer,2026-01-10T20:33:21Z,netflow,Unusual outbound connection from WS-281 to 10.164.238.114:8080 bytes_out=1418893,anomalous,Raise alert: suspicious C2/exfil pattern; verify destination reputation and isolate if confirmed.
E-0030,54,responder,2026-01-10T20:33:21Z,alert,Alert received: Unusual outbound connection from WS-281 to 10.164.238.114:8080 bytes_out=1418893,anomalous,"Classify as possible C2. Recommend: block destination IP, isolate host if beaconing persists, hunt IOCs."
E-0031,55,observer,2026-01-05T02:51:08Z,app,Service vpn responded 200 OK on SRV-38,benign,Normal application health event.
E-0032,56,observer,2026-01-01T14:13:43Z,dns,DNS query office.com from WS-024,benign,Normal DNS activity; no action needed.
E-0033,57,observer,2026-01-16T22:10:53Z,dns,DNS query www.apple.com from FW-01,benign,Normal DNS activity; no action needed.
E-0033,58,responder,2026-01-16T22:10:53Z,alert,Alert received: DNS query www.apple.com from FW-01,benign,Dismiss as low risk; continue monitoring.
E-0034,59,observer,2026-01-04T05:40:32Z,dns,High entropy DNS query 6192k42qpr75pr2esprvu8fijoyjne00.sync.account.ru from WS-238,anomalous,Raise alert: suspected DNS tunneling; collect DNS logs for confirmation.
E-0034,60,responder,2026-01-04T05:40:32Z,alert,Alert received: High entropy DNS query 6192k42qpr75pr2esprvu8fijoyjne00.sync.account.ru from WS-238,high_risk,"Classify as potential exfiltration. Recommend: collect DNS logs, block domain if confirmed, isolate host pending approval."
E-0035,61,observer,2026-01-15T04:15:03Z,app,Service fileshare responded 200 OK on WS-011,benign,Normal application health event.
E-0036,62,observer,2026-01-11T04:05:51Z,app,Service email responded 200 OK on WS-276,benign,Normal application health event.
E-0037,63,observer,2026-01-17T11:37:43Z,auth,User unknown login success on WS-208 from 10.84.239.236,benign,Normal authentication event.
E-0038,64,observer,2026-01-10T13:32:00Z,dns,DNS query api.apple.com from SRV-04,benign,Normal DNS activity; no action needed.
E-0039,65,observer,2026-01-08T22:24:05Z,dns,High entropy DNS query b8dwoecbpmbjpi4hn3qxkhktg.cdn.verify.pw from WS-173,anomalous,Raise alert: suspected DNS tunneling; collect DNS logs for confirmation.
E-0039,66,responder,2026-01-08T22:24:05Z,alert,Alert received: High entropy DNS query b8dwoecbpmbjpi4hn3qxkhktg.cdn.verify.pw from WS-173,high_risk,"Classify as potential exfiltration. Recommend: collect DNS logs, block domain if confirmed, isolate host pending approval."
E-0039,67,consultant,2026-01-08T22:24:05Z,correlation,Correlation analysis for High entropy DNS query b8dwoecbpmbjpi4hn3qxkhktg.cdn.verify.pw from WS-173,staged_attack,"Hypothesis: multi-stage compromise leading to DNS-based exfiltration. Next: IR escalation, isolate host, hunt related DNS IOCs, review auth history."
E-0040,68,observer,2026-01-17T18:18:43Z,dns,High entropy DNS query hcw81xe6va05g1x3j1l7r8431rupfr.update.secure.cc from SRV-22,anomalous,Raise alert: suspected DNS tunneling; collect DNS logs for confirmation.
E-0040,69,responder,2026-01-17T18:18:43Z,alert,Alert received: High entropy DNS query hcw81xe6va05g1x3j1l7r8431rupfr.update.secure.cc from SRV-22,high_risk,"Classify as potential exfiltration. Recommend: collect DNS logs, block domain if confirmed, isolate host pending approval."
E-0041,70,observer,2026-01-08T21:20:04Z,dns,DNS query cdn.zoom.us from WS-094,benign,Normal DNS activity; no action needed.
E-0042,71,observer,2026-01-05T15:17:54Z,dns,High entropy DNS query 452bfsozptx497w19vw3rtqohmuh8.img.secure.top from WS-044,anomalous,Raise alert: suspected DNS tunneling; collect DNS logs for confirmation.
E-0042,72,responder,2026-01-05T15:17:54Z,alert,Alert received: High entropy DNS query 452bfsozptx497w19vw3rtqohmuh8.img.secure.top from WS-044,high_risk,"Classify as potential exfiltration. Recommend: collect DNS logs, block domain if confirmed, isolate host pending approval."
E-0043,73,observer,2026-01-15T11:39:20Z,netflow,Unusual outbound connection from WS-145 to 10.154.7.182:9001 bytes_out=267463,anomalous,Raise alert: suspicious C2/exfil pattern; verify destination reputation and isolate if confirmed.
E-0043,74,responder,2026-01-15T11:39:20Z,alert,Alert received: Unusual outbound connection from WS-145 to 10.154.7.182:9001 bytes_out=267463,high_risk,"Classify as possible C2. Recommend: block destination IP, isolate host if beaconing persists, hunt IOCs."
E-0043,75,consultant,2026-01-15T11:39:20Z,correlation,Correlation analysis for Unusual outbound connection from WS-145 to 10.154.7.182:9001 bytes_out=267463,staged_attack,"Hypothesis: command-and-control followed by exfiltration attempt. Next: isolate host, block C2, scan lateral movement, collect memory dump."
E-0044,76,observer,2026-01-12T21:57:27Z,dns,DNS query www.github.com from WS-053,benign,Normal DNS activity; no action needed.
E-0045,77,observer,2026-01-02T14:03:55Z,dns,DNS query www.zoom.us from WS-206,benign,Normal DNS activity; no action needed.
E-0046,78,observer,2026-01-15T17:12:20Z,netflow,Unusual outbound connection from SRV-06 to 10.152.219.79:135 bytes_out=1304388,anomalous,Raise alert: suspicious C2/exfil pattern; verify destination reputation and isolate if confirmed.
E-0046,79,responder,2026-01-15T17:12:20Z,alert,Alert received: Unusual outbound connection from SRV-06 to 10.152.219.79:135 bytes_out=1304388,high_risk,"Classify as possible C2. Recommend: block destination IP, isolate host if beaconing persists, hunt IOCs."
E-0046,80,consultant,2026-01-15T17:12:20Z,correlation,Correlation analysis for Unusual outbound connection from SRV-06 to 10.152.219.79:135 bytes_out=1304388,benign,No strong evidence of coordinated attack; document findings and continue monitoring.
E-0047,81,observer,2026-01-07T10:10:03Z,netflow,Unusual outbound connection from SRV-39 to 10.80.1.105:8080 bytes_out=1447716,anomalous,Raise alert: suspicious C2/exfil pattern; verify destination reputation and isolate if confirmed.
E-0047,82,responder,2026-01-07T10:10:03Z,alert,Alert received: Unusual outbound connection from SRV-39 to 10.80.1.105:8080 bytes_out=1447716,high_risk,"Classify as possible C2. Recommend: block destination IP, isolate host if beaconing persists, hunt IOCs."
E-0048,83,observer,2026-01-18T01:31:11Z,netflow,Unusual outbound connection from WS-233 to 10.101.217.30:9001 bytes_out=473459,anomalous,Raise alert: suspicious C2/exfil pattern; verify destination reputation and isolate if confirmed.
E-0048,84,responder,2026-01-18T01:31:11Z,alert,Alert received: Unusual outbound connection from WS-233 to 10.101.217.30:9001 bytes_out=473459,anomalous,"Classify as possible C2. Recommend: block destination IP, isolate host if beaconing persists, hunt IOCs."
E-0048,85,consultant,2026-01-18T01:31:11Z,correlation,Correlation analysis for Unusual outbound connection from WS-233 to 10.101.217.30:9001 bytes_out=473459,benign,No strong evidence of coordinated attack; document findings and continue monitoring.
E-0049,86,observer,2026-01-05T00:39:25Z,dns,DNS query zoom.us from WS-158,benign,Normal DNS activity; no action needed.
E-0050,87,observer,2026-01-11T15:00:46Z,netflow,Outbound connection from WS-042 to 10.128.13.24:3389 bytes_out=1416106,benign,Normal network flow.
E-0051,88,observer,2026-01-17T07:37:56Z,endpoint,Endpoint AV scan completed on WS-138 (no threats),benign,Normal endpoint security event.
E-0052,89,observer,2026-01-15T04:58:45Z,dns,DNS query login.amazon.com from WS-224,benign,Normal DNS activity; no action needed.
E-0053,90,observer,2026-01-17T20:05:39Z,auth,User hassan login success on WS-254 from 10.205.18.117,benign,Normal authentication event.
E-0054,91,observer,2026-01-10T19:26:56Z,dns,DNS query cdn.amazon.com from WS-264,benign,Normal DNS activity; no action needed.
E-0055,92,observer,2026-01-05T22:34:52Z,netflow,Unusual outbound connection from WS-137 to 10.248.62.8:135 bytes_out=1678282,anomalous,Raise alert: suspicious C2/exfil pattern; verify destination reputation and isolate if confirmed.
E-0055,93,responder,2026-01-05T22:34:52Z,alert,Alert received: Unusual outbound connection from WS-137 to 10.248.62.8:135 bytes_out=1678282,high_risk,"Classify as possible C2. Recommend: block destination IP, isolate host if beaconing persists, hunt IOCs."
E-0056,94,observer,2026-01-03T06:17:53Z,netflow,Outbound connection from WS-116 to 10.255.149.131:53 bytes_out=873346,benign,Normal network flow.
E-0056,95,responder,2026-01-03T06:17:53Z,alert,Alert received: Outbound connection from WS-116 to 10.255.149.131:53 bytes_out=873346,benign,Dismiss as low risk; continue monitoring.
E-0057,96,observer,2026-01-14T09:08:06Z,dns,DNS query login.cloudflare.com from WS-075,benign,Normal DNS activity; no action needed.
E-0058,97,observer,2026-01-07T20:45:56Z,app,Service api_gateway responded 200 OK on WS-153,benign,Normal application health event.
E-0059,98,observer,2026-01-10T03:44:26Z,netflow,Outbound connection from WS-234 to 10.210.22.82:8080 bytes_out=1480970,benign,Normal network flow.
E-0060,99,observer,2026-01-16T19:49:42Z,endpoint,Suspicious process wscript executed on WS-078 by user ali,anomalous,Raise alert: suspicious execution; collect process tree and quarantine if needed.
E-0060,100,responder,2026-01-16T19:49:42Z,alert,Alert received: Suspicious process wscript executed on WS-078 by user ali,anomalous,"Classify as suspicious execution. Recommend: quarantine endpoint, collect triage package, reset credentials."
E-0060,101,consultant,2026-01-16T19:49:42Z,correlation,Correlation analysis for Suspicious process wscript executed on WS-078 by user ali,benign,No strong evidence of coordinated attack; document findings and continue monitoring.
E-0061,102,observer,2026-01-13T18:23:19Z,auth,User ahmed login success on WS-234 from 10.73.209.223,benign,Normal authentication event.
E-0062,103,observer,2026-01-07T10:23:13Z,auth,User mahmoud login success on WS-174 from 10.203.41.219,benign,Normal authentication event.
E-0063,104,observer,2026-01-08T16:28:06Z,netflow,Outbound connection from SRV-21 to 162.147.116.192:443 bytes_out=912104,benign,Normal network flow.
E-0064,105,observer,2026-01-03T10:32:58Z,netflow,Unusual outbound connection from WS-228 to 10.28.150.92:445 bytes_out=905215,anomalous,Raise alert: suspicious C2/exfil pattern; verify destination reputation and isolate if confirmed.
E-0064,106,responder,2026-01-03T10:32:58Z,alert,Alert received: Unusual outbound connection from WS-228 to 10.28.150.92:445 bytes_out=905215,high_risk,"Classify as possible C2. Recommend: block destination IP, isolate host if beaconing persists, hunt IOCs."
E-0065,107,observer,2026-01-05T03:01:21Z,app,Service hr_portal responded 200 OK on WS-090,benign,Normal application health event.
E-0066,108,observer,2026-01-17T04:27:46Z,auth,User ali login success on WS-005 from 10.147.80.19,benign,Normal authentication event.
E-0067,109,observer,2026-01-16T12:12:31Z,netflow,Unusual outbound connection from WS-218 to 10.196.247.28:3389 bytes_out=801778,anomalous,Raise alert: suspicious C2/exfil pattern; verify destination reputation and isolate if confirmed.
E-0067,110,responder,2026-01-16T12:12:31Z,alert,Alert received: Unusual outbound connection from WS-218 to 10.196.247.28:3389 bytes_out=801778,anomalous,"Classify as possible C2. Recommend: block destination IP, isolate host if beaconing persists, hunt IOCs."
E-0068,111,observer,2026-01-16T23:26:47Z,dns,DNS query login.apple.com from WS-203,benign,Normal DNS activity; no action needed.
E-0069,112,observer,2026-01-06T07:34:45Z,app,Service crm error 500 spike on SRV-26,anomalous,Investigate service degradation; check downstream dependencies and recent deployments.
E-0069,113,responder,2026-01-06T07:34:45Z,alert,Alert received: Service crm error 500 spike on SRV-26,anomalous,Prioritize incident and assign to analyst; gather supporting telemetry.
E-0070,114,observer,2026-01-18T18:37:49Z,netflow,Outbound connection from WS-068 to 10.102.67.202:9001 bytes_out=1840071,benign,Normal network flow.
E-0071,115,observer,2026-01-04T23:51:14Z,app,Service crm responded 200 OK on WS-132,benign,Normal application health event.
E-0072,116,observer,2026-01-06T11:25:48Z,netflow,Unusual outbound connection from SRV-47 to 10.7.135.138:443 bytes_out=955755,anomalous,Raise alert: suspicious C2/exfil pattern; verify destination reputation and isolate if confirmed.
E-0072,117,responder,2026-01-06T11:25:48Z,alert,Alert received: Unusual outbound connection from SRV-47 to 10.7.135.138:443 bytes_out=955755,high_risk,"Classify as possible C2. Recommend: block destination IP, isolate host if beaconing persists, hunt IOCs."
E-0072,118,consultant,2026-01-06T11:25:48Z,correlation,Correlation analysis for Unusual outbound connection from SRV-47 to 10.7.135.138:443 bytes_out=955755,staged_attack,"Hypothesis: command-and-control followed by exfiltration attempt. Next: isolate host, block C2, scan lateral movement, collect memory dump."
E-0073,119,observer,2026-01-10T00:23:56Z,netflow,Outbound connection from WS-056 to 10.167.113.166:443 bytes_out=1334538,benign,Normal network flow.
E-0073,120,responder,2026-01-10T00:23:56Z,alert,Alert received: Outbound connection from WS-056 to 10.167.113.166:443 bytes_out=1334538,benign,Dismiss as low risk; continue monitoring.
E-0074,121,observer,2026-01-10T21:50:58Z,auth,Multiple failed logins (11) for user sara on WS-060 from 10.23.19.78,anomalous,Raise alert: possible brute force; recommend rate limiting and MFA challenge.
E-0075,122,observer,2026-01-04T07:01:48Z,app,Service hr_portal error 500 spike on WS-199,anomalous,Investigate service degradation; check downstream dependencies and recent deployments.
